Title,Price,Bedrooms,Area,Link
"2 Bd on Short St., Hardwood Floors, Microwave, New/Renovated Bath",2800,2,1120ft2,https://boston.craigslist.org/gbs/fee/d/2-bd-on-short-st-hardwood/6464782939.html
Prime Chinatown Location- NO BROKER FEE!,2600,2,,https://boston.craigslist.org/gbs/nfb/d/prime-chinatown-location-no/6444755371.html
GORGEOUS Studio on Beacon St. BACK BAY Near BU MIT NECO,1800,,,https://boston.craigslist.org/gbs/fee/d/gorgeous-studio-on-beacon-st/6453431453.html
1/2 FEE PAID IN THIS UNIQUE INDUSTRIAL LOFT STYLE COMPLEX!!!,2252,1,928ft2,https://boston.craigslist.org/gbs/fee/d/1-2-fee-paid-in-this-unique/6445885544.html
"LEED Certified Luxury 1 Bed w/ Concierge: Pet Friendly, Fitness Ctr",2850,1,,https://boston.craigslist.org/gbs/fee/d/leed-certified-luxury-1-bed/6464827363.html
Breathtaking 1 Bedroom in North End,2700,1,720ft2,https://boston.craigslist.org/gbs/fee/d/breathtaking-1-bedroom-in/6438763617.html
SOUTH END SUPER LUX LOFT STYLE DOWNTOWN CONSTRUCTION 1 BED W/ DEN!!!,3108,1,714ft2,https://boston.craigslist.org/gbs/nfb/d/south-end-super-lux-loft/6445878062.html
"BACK BAY ONE BED STEPS FROM THE PRU, COPLEY SQUARE AND RESTAURANT ROW!",3850,1,901ft2,https://boston.craigslist.org/gbs/nfb/d/back-bay-one-bed-steps-from/6448636434.html
ENJOY UNBEATABLE AMENITIES AT YOUR NEW LUX APT COMPLEX. HALF FEE!!!,2765,2,1129ft2,https://boston.craigslist.org/gbs/fee/d/enjoy-unbeatable-amenities-at/6448635153.html
Stunning North End 1 Bedroom with No Fee,2225,1,600ft2,https://boston.craigslist.org/gbs/fee/d/stunning-north-end-1-bedroom/6435787155.html
"Open 4 Bed 2 Bath on Mission Hill by Northeastern, Wentworth and MCPHS",4300,4,,https://boston.craigslist.org/gbs/fee/d/open-4-bed-2-bath-on-mission/6464817322.html
"HEART OF BOSTON NO FEE 2 BED WITH PRIVATE OUTDOOR PATIO, IN UNIT W/D!!",4060,2,832ft2,https://boston.craigslist.org/gbs/nfb/d/heart-of-boston-no-fee-2-bed/6448633270.html
UP TO HALF MONTH FREE AT EXPANSIVE CAMBRIDGE LUXURY ONE BED!!!!,2155,1,857ft2,https://boston.craigslist.org/gbs/fee/d/up-to-half-month-free-at/6450882595.html
HALF FEE!! ENORMOUS TWO BED SUITE MINUTES FROM THE HEART OF THE CITY!!,2485,2,1140ft2,https://boston.craigslist.org/gbs/fee/d/half-fee-enormous-two-bed/6454356363.html
Prime North End Location,2400,1,,https://boston.craigslist.org/gbs/fee/d/prime-north-end-location/6435778110.html
FULLY FURNISHED..FLEX LEASE!! MIN TO DOWNTOWN ..NEXT TO T!! FEB 1ST,2800,2,1100ft2,https://boston.craigslist.org/gbs/abo/d/fully-furnishedflex-lease-min/6464738468.html
EXPANSIVE LOFT STYLE 1 BED UNIT JUST MINUTES FROM NORTH END & MORE!!!,2298,1,928ft2,https://boston.craigslist.org/gbs/fee/d/expansive-loft-style-1-bed/6454354965.html
Prime Back Bay Location- NO BROKER FEE!,7275,2,1451ft2,https://boston.craigslist.org/gbs/fee/d/prime-back-bay-location-no/6451384516.html
GOLIATH TWO LEVEL TWO BED UNIT IN CONDO CONSTRUCTION LUX BUILDING!!!,5567,2,1715ft2,https://boston.craigslist.org/gbs/fee/d/goliath-two-level-two-bed/6453997162.html
LOFT SPACE AVAILABLE IN ULTRA MODERN HIGH RISE WITH ON-SITE PARKING!!!,2564,,546ft2,https://boston.craigslist.org/gbs/fee/d/loft-space-available-in-ultra/6453995815.html
Sunny Davis Square Studio | No Broker Fee | Dishwasher | Hardwood | T!,1875,,480ft2,https://boston.craigslist.org/gbs/nfb/d/sunny-davis-square-studio-no/6438428646.html
5 Bd on Cherokee St Mission Hill Near NEU WIT MCPHS,5000,5,,https://boston.craigslist.org/gbs/fee/d/5-bd-on-cherokee-st-mission/6453741046.html
BRAND NEW 2 BED!  NEAR HARVARD SQUARE!,3200,2,,https://boston.craigslist.org/gbs/fee/d/brand-new-2-bed-near-harvard/6453741092.html
Mission Hill 5 bed Carmel St Near Northeastern / WIT / MCPHS,5300,5,,https://boston.craigslist.org/gbs/fee/d/mission-hill-5-bed-carmel-st/6453725539.html
Prime North End Location,2400,1,,https://boston.craigslist.org/gbs/fee/d/prime-north-end-location/6444653734.html
Sunny Studio~Utilities Included~Stunning Location~Carpet~No Laundry,1690,,,https://boston.craigslist.org/gbs/fee/d/sunny-studioutilities/6460363097.html
6 Bed 2 Bath Parker Hill Ave MISSION HILL Near NEU WIT MCPHS BERKLEE,7500,6,,https://boston.craigslist.org/gbs/fee/d/6-bed-2-bath-parker-hill-ave/6453725416.html
4 Bd on Parker Hill Ave Mission Hill Near NEU WIT MCPHS,5000,4,,https://boston.craigslist.org/gbs/fee/d/4-bd-on-parker-hill-ave/6453725379.html
Charming North End Studio,1650,,,https://boston.craigslist.org/gbs/fee/d/charming-north-end-studio/6444656275.html
Mission Hill 7 BED!!!!!!! MINS TO NEU WIT,6650,7,,https://boston.craigslist.org/gbs/fee/d/mission-hill-7-bed-mins-to/6453719357.html
8 Bed on Alleghany St MISSION HILL Near NEU WIT MCPHS,10000,8,,https://boston.craigslist.org/gbs/fee/d/8-bed-on-alleghany-st-mission/6453719402.html
4 Bed on Parker Hill MISSION HILL Near NEU WIT MCPHS,3800,4,,https://boston.craigslist.org/gbs/fee/d/4-bed-on-parker-hill-mission/6453719304.html
2 Bd on Darling St Mission Hill Near NEU WIT MCPHS,2595,2,,https://boston.craigslist.org/gbs/fee/d/2-bd-on-darling-st-mission/6453719191.html
"2 Bd on Darling St., New/Renovated Kitchen, Modern Kitchen, Disposal",2595,2,,https://boston.craigslist.org/gbs/fee/d/2-bd-on-darling-st-new/6453692854.html
5 Bd on Cherokee St Mission Hill Near NEU WIT MCPHS,5000,5,,https://boston.craigslist.org/gbs/fee/d/5-bd-on-cherokee-st-mission/6453692723.html
